title,categories,address,price,date_posted,PIDs,beds,newly_built,serviced,furnished,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,state
Newly Built 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  90,000/day ",2022-03-13, 8GEZL,4,True,True,True,4,4,90000,2700000,32850000,Lagos
Well Furnished 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  140,000/day ",2022-04-15, 9GKNQ,4,True,True,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2023-02-01, 2HYUS,4,True,True,True,4,5,120000,3600000,43800000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Gra Ogudu Lagos,"  110,000/day ",2022-12-07, 7HSNB,4,False,True,False,4,5,110000,3300000,40150000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  130,000/day ",2023-07-28, 7JWKW,4,False,False,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Vgc Lekki Lagos,"  140,000/day ",2023-07-28, 3JWJX,4,False,False,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Terrace Duplex Available For Party,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikota Lekki Lagos,"  200,000/day ",2023-02-17, 0JASC,4,True,True,True,4,5,200000,6000000,73000000,Lagos
Luxurious 4 Bedroom With Executive Bar And Snooker Board,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  250,000/day ",2020-08-30, 3DUHM,4,False,False,True,4,5,250000,7500000,91250000,Lagos
Spacious 4bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ogudu Gra Ogudu Gra Ogudu Lagos,"  120,000 ",2022-01-06, 4FWHJ,4,False,False,False,4,4,120000,1440000,43800000,Lagos
Furnish 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oral Estate Oral Estate Lekki Lagos,"  90,000/day ",2022-06-29, 3GWHT,4,False,True,True,4,5,90000,2700000,32850000,Lagos
Cozy 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Magodo Shangisha Magodo Gra Phase 2 Kosofe Ikosi Lagos,"  95,000/day ",2022-07-08, 1GXLV,4,False,True,True,4,4,95000,2850000,34675000,Lagos
Luxury 4bedroom Duplex With Swimming Pool,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,"  150,000 ",2021-12-31, 7FVYA,4,False,True,True,4,4,150000,1800000,54750000,Abuja
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Wuse 2 Abuja,"  140,000/day ",2022-08-11, 7HBRZ,4,False,True,True,4,5,140000,4200000,51100000,Abuja
Luxury 4bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,"  160,000 ",2022-04-29, 5GMHG,4,False,True,True,4,5,160000,1920000,58400000,Abuja
All New Furnish 4 Bedroom Terrace,4 BEDROOM HOUSE FOR SHORTLET,Osapa Osapa London Lekki Lagos,"  100,000/day ",2021-08-08, 5FDHK,4,True,True,True,4,5,100000,3000000,36500000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Bourdillon Ikoyi Lagos,"  220,000/day ",2023-03-14, 6JDET,4,True,True,True,4,5,220000,6600000,80300000,Lagos
Furnished 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  85,000/day ",2022-08-12, 7HBVD,4,False,True,True,4,4,85000,2550000,31025000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,"  140,000/day ",2022-08-26, 6HDTA,4,False,True,True,4,4,140000,4200000,51100000,Lagos
Furnished 4bedroom Duplex With Ps5,4 BEDROOM HOUSE FOR SHORTLET,Oniru Oniru Victoria Island Lagos,"  140,000/day ",2022-08-29, 0HDZE,4,False,True,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"  130,000/day ",2022-05-26, 0GRFM,4,False,False,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM COMMERCIAL PROPERTY FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  200,000/day ",2023-02-25, 9JBKQ,4,False,True,True,4,5,200000,6000000,73000000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Atlantis Estate Ologolo Lekki Lagos,"  130,000/day ",2023-02-25, 3JBKJ,4,False,True,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  140,000/day ",2022-11-08, 3HNXA,4,False,True,True,0,0,140000,4200000,51100000,Lagos
4 Bedroom Semi Detached Duplex House,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,"  90,000/day ",2021-09-01, 8FGNF,4,False,True,False,4,5,90000,2700000,32850000,Abuja
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Banana Island Ikoyi Lagos,"  280,000 ",2023-05-18, 0JMEG,4,False,True,True,4,5,280000,3360000,102200000,Lagos
Stunning 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Guzape Abuja,"  180,000/day ",2023-05-15, 3JLTZ,4,False,True,True,5,5,180000,5400000,65700000,Abuja
Tastefully Finished And Furnished 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SHORTLET,Off Oba Akinjobi Way Ikeja Gra Ikeja Lagos,"  70,000/day ",2021-04-21, 9EPEW,4,False,False,False,4,5,70000,2100000,25550000,Lagos
Premium 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevron Chevron Lekki Lagos,"  105,000/day ",2021-07-23, 9FBLD,4,True,True,True,4,5,105000,3150000,38325000,Lagos
Furnished 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Alperton Residence Osapa London Lekki Lagos,"  140,000/day ",2022-12-25, 0HUUC,4,False,False,True,0,0,140000,4200000,51100000,Lagos
Tastefully Furnished 4bedrooms Paragon,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Ikate Lekki Lagos,"  85,000 ",2021-09-01, 9FGPK,4,False,True,True,4,4,85000,1020000,31025000,Lagos
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Orchid, Lekki Lagos","  170,000/day ",2023-05-29, 9JNLM,4,True,True,True,4,5,170000,5100000,62050000,Lagos
Home From Home,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 2 Lekki Lagos,"  100,000/day ",2022-05-25, 5GRCQ,4,True,True,True,4,5,100000,3000000,36500000,Lagos
4 Bedroom Party Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Alhujjaj Road, Off Platinum Way, Ikate Lekki Lagos","  250,000/day ",2023-06-07, 7JPSD,4,False,True,True,4,5,250000,7500000,91250000,Lagos
Newly Built 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"  100,000 ",2020-01-07, 1CWTJ,4,True,True,True,4,5,100000,1200000,36500000,Lagos
Fully Furnished 4bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Off Admirathy Way Lekki Lekki Phase 1 Lekki Lagos,"  150,000 ",2021-07-18, 6FAXL,4,False,False,False,4,5,150000,1800000,54750000,Lagos
Furnished 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Spring Bay Estate, Off Freedom Way, Ikate Lekki Lagos","  150,000/day ",2023-04-27, 0JJNC,4,False,False,False,4,5,150000,4500000,54750000,Lagos
4bedroom Self Compound With Pool,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,"  95,000/day ",2021-12-08, 3FUAX,4,False,True,True,5,5,95000,2850000,34675000,Lagos
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Opebi Ikeja Lagos,"  90,000/day ",2022-07-16, 4GYHE,4,False,True,True,5,5,90000,2700000,32850000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  140,000/day ",2022-09-08, 5HFFG,4,True,True,True,4,5,140000,4200000,51100000,Lagos
Furnished 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Admiralty Way Lekki Phase 1 Lekki Lagos,"  130,000/day ",2022-08-12, 0HBUD,4,True,True,True,4,5,130000,3900000,47450000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Ikate Lekki Lagos,"  130,000/day ",2022-05-24, 1GQUT,4,False,True,True,4,5,130000,3900000,47450000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Horizon 2 Estate Ikate Lekki Lagos,"  100,000/day ",2023-03-21, 3JDYH,4,False,True,True,4,5,100000,3000000,36500000,Lagos
