title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lagos Business School Off Lekki Epe Expressway Ajah Lagos,No agent,"  30,000 ", 5BZSR,True,True,True,2,2,3,30000,360000,10950000,2019-01-31,,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  90,000/day ", 7GRWJ,False,False,False,2,2,3,90000,2700000,32850000,2022-05-31,2023-08-11,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,World Bank Owerri Imo,bright-innocent1,"  90,000/day ", 3JTPR,True,True,True,2,2,3,90000,2700000,32850000,2023-07-07,2023-08-02,Imo
Serviced 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Dolphin Dolphin Estate Ikoyi Lagos,alema-property,"  45,000/day ", 7EJEX,False,False,False,2,2,3,45000,1350000,16425000,2021-02-25,2023-08-11,Lagos
2bedroom Bq Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikoyi Lagos,dpositive,"  75,000/day ", 9JPHM,False,True,True,2,0,0,75000,2250000,27375000,2023-06-04,2023-08-09,Lagos
Classy 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Phase 1, Lekki Lagos",rentalhub_island,"  65,000/day ", 9JJJQ,False,True,True,2,0,0,65000,1950000,23725000,2023-04-27,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,dpositive,"  70,000/day ", 8JSAR,False,True,False,2,0,0,70000,2100000,25550000,2023-06-25,2023-08-09,Lagos
New Furnished 2 Bedrooms Apartment In Kubwa For Shortlet,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Arab Road Kubwa Abuja,sylvanus-agu,"  30,000/day ", 1DWYU,False,True,True,2,2,2,30000,900000,10950000,2020-09-28,2023-08-09,Abuja
2 Units Of 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Adjacent Orji Uzor Kalu House Wuse 2 Abuja,mls-properties1,"  120,000/day ", 5HMLJ,False,False,False,2,0,0,120000,3600000,43800000,2022-10-27,2023-07-31,Abuja
Tastefully Finished And Furnished Two (2) ,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikeja Gra Ikeja Lagos,leewardproperties,"  55,000 ", 8CTWX,False,False,True,2,2,2,55000,660000,20075000,2019-11-11,2023-08-09,Lagos
2bedroom House,2 BEDROOM HOUSE FOR SHORTLET,Lekki Phase1 Lekki Phase 1 Lekki Lagos,distinct-pragmatic-limited,"  70,000/day ", 6EDQW,False,False,True,2,2,3,70000,2100000,25550000,2021-01-01,2023-07-31,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,ile-eru-bestway-properties-global-consultants,"  75,000/day ", 1JUZC,False,False,False,2,0,0,75000,2250000,27375000,2023-07-18,2023-08-09,Lagos
Beautiful Two Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oba Akran Ikeja Lagos,property-magnate,"  60,000/day ", 9JGEW,True,True,True,2,3,3,60000,1800000,21900000,2023-04-10,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,property-magnate,"  65,000/day ", 6HQDK,True,True,True,2,3,3,65000,1950000,23725000,2022-11-18,2023-08-09,Lagos
Furnish 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Alexander Ikoyi Lagos,kim-thompson-,"  90,000/day ", 0HFKX,False,True,True,2,2,3,90000,2700000,32850000,2022-09-09,2023-08-09,Lagos
Furnish 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,kim-thompson-,"  80,000/day ", 2GZTB,True,True,True,2,3,3,80000,2400000,29200000,2022-07-27,2023-08-09,Lagos
Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Limpopo Maitama Abuja,kim-thompson-,"  80,000/day ", 5FMBM,False,True,True,2,2,3,80000,2400000,29200000,2021-10-08,2023-08-09,Abuja
Newly Built 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Chevron Lekki Lagos,kim-thompson-,"  75,000/day ", 6JMEC,True,True,True,2,2,3,75000,2250000,27375000,2023-05-18,2023-08-09,Lagos
Furnish 2 Bedroom Duplex,2 BEDROOM HOUSE FOR SHORTLET,Chevron Chevron Lekki Lagos,kim-thompson-,"  70,000/day ", 0FAUY,True,True,True,2,2,3,70000,2100000,25550000,2021-07-17,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Adeniran Ogunsanya Surulere Lagos,kim-thompson-,"  50,000/day ", 6HQWY,False,True,True,2,2,3,50000,1500000,18250000,2022-11-24,2023-08-09,Lagos
2 Bedroom Duplex,2 BEDROOM HOUSE FOR SHORTLET,Sangotedo Lagos,distinct-pragmatic-limited,"  50,000/day ", 3JTFD,False,True,True,2,2,3,50000,1500000,18250000,2023-07-05,2023-07-31,Lagos
Haap Flex 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Kalpan Estate, Kayode Kasumu Street Off Tom Ogboi Street, Itedo Lekki Phase 1 Lekki Lagos",ezekiel-bassey,"  75,000/day ", 9GQFU,False,False,True,2,2,1,75000,2250000,27375000,2022-05-20,2023-08-09,Lagos
Furnished Two Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Freedom Way, Phase 1 Lekki Lagos",pcl-homes,"  75,000/day ", 6JFFQ,False,True,True,2,2,3,75000,2250000,27375000,2023-03-31,2023-08-12,Lagos
2 Bedroom Apartment In Lekki Phase One,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15,"  70,000/day ", 0JYNU,True,True,True,2,2,3,70000,2100000,25550000,2023-08-12,2023-08-12,Lagos
Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kim-thompson-,"  80,000/day ", 0HSAZ,True,True,True,2,2,3,80000,2400000,29200000,2022-12-03,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kennedy-otunku,"  100,000/day ", 2HSYQ,True,True,True,2,2,3,100000,3000000,36500000,2022-12-12,2023-08-11,Lagos
Lovely 3 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oregun Ikeja Lagos,property-magnate,"  65,000 ", 4FRZL,False,True,True,2,3,3,65000,780000,23725000,2021-11-21,2023-08-09,Lagos
Classic 2 Bedroom Apartment,2 BEDROOM LAND FOR SHORTLET,Oniru Oniru Victoria Island Lagos,kamcourts-investment-limited,"  65,000/day ", 2FGSC,False,True,True,2,2,3,65000,1950000,23725000,2021-09-01,2023-08-09,Lagos
A Very Cheap 2 Bedroom Flat Furnished Apartments,2 BEDROOM HOUSE FOR SHORTLET,Alhaji Bashir Shittu Street Off Cmd Road Magodo Gra Phase 2 Kosofe Ikosi Lagos,gods-gift-properties-and-investment-a-subsidiary-of-douglas-ifada-associates,"  65,000/day ", 5FBFV,False,True,True,2,2,3,65000,1950000,23725000,2021-07-22,2023-08-09,Lagos
Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,cwre-ltd,"  450,000/day ", 2GHQZ,False,False,True,2,2,3,450000,13500000,164250000,2022-03-31,2023-08-11,Lagos
Beautiful 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Utako Abuja,zoey-properties1,"  200,000/day ", 5JFSG,True,True,True,2,2,3,200000,6000000,73000000,2023-04-04,2023-08-09,Abuja
Newly Built 2 Bedroom Duplex,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,franklin15,"  95,000/day ", 4GEPX,True,True,True,2,2,2,95000,2850000,34675000,2022-03-10,2023-08-11,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  65,000/day ", 9FQNC,False,True,True,2,2,0,65000,1950000,23725000,2021-11-07,2023-08-11,Lagos
Furnish 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Vgc Vgc Lekki Lagos,kim-thompson-,"  60,000/day ", 6FGPT,False,True,True,2,2,3,60000,1800000,21900000,2021-09-01,2023-08-09,Lagos
