title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state
Furnished 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,ben-solomon, 0JXRY,True,False,True,4,4,5,90000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,"Greenwood Estate, Behind Vilac International School Opposite Corona School Abijo Ajah Lagos",standardbrass-properties-investment, 7JXRR,False,False,False,0,0,0,15000000,2023-08-07,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,ebuka-of-lagos-plc1, 3JXVA,False,False,False,0,0,0,85000000,2023-08-07,2023-08-12,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,oip-properties, 3JXRF,True,True,False,1,2,2,90000000,2023-08-06,2023-08-12,Lagos
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Yaba Lagos,temidayo-faro, 1JXRD,False,False,False,4,0,0,100000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,By 2nd Tollgate Chevron Lekki Lagos,purple-ribbon-properties, 3JXUZ,False,False,False,3,0,0,18000000,2023-08-07,2023-08-12,Lagos
Newly Built 3 Bedroom Detached Bungalow,3 BEDROOM HOUSE FOR SALE,Ibeju Lekki Lagos,pcl-homes, 3JXUY,True,True,False,4,4,5,95000000,2023-08-07,2023-08-12,Lagos
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Phase 2 Lekki Lagos,purple-ribbon-properties, 2JXUY,False,False,False,3,0,0,25000000,2023-08-07,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos Lekki Lagos,pcl-homes, 1JXTP,True,False,False,4,4,5,65000000,2023-08-07,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Lekki Lagos Lekki Lagos,pcl-homes, 4JXTN,True,False,False,4,4,5,75000000,2023-08-07,2023-08-12,Lagos
Brand New 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Secound Tollgate Lekki Lekki Lagos,pcl-homes, 2JXTL,True,False,False,4,4,5,75000000,2023-08-07,2023-08-12,Lagos
Own A Plot And Get Instant Allocation,LAND FOR SALE,Win A 1.5kva Generator And Get Instant Allocation Epe Lagos,rentalhub_island, 7JXQF,False,False,False,3,0,0,2750000,2023-08-05,2023-08-12,Lagos
Residential Land,LAND FOR SALE,"Igbonla, Close To St Augustine’s University, Epe Road Epe Lagos",yemi-adepoju, 4JXQF,True,False,False,5,5,6,2500000,2023-08-05,2023-08-12,Lagos
Land,LAND FOR SALE,Oniru Victoria Island Lagos,chrystal-abodes1, 9JXQD,False,False,False,0,0,0,500000,2023-08-05,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Along Lekki Expressway Lekki Lagos,chrystal-abodes1, 6JXQD,False,False,False,4,4,5,85000000,2023-08-05,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Along Lekki Expressway Lekki Lagos,chrystal-abodes1, 4JXQC,False,False,False,4,4,5,120000000,2023-08-05,2023-08-12,Lagos
Luxury 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,"Phase 1, Lekki Lagos",chrystal-abodes1, 6JXQB,True,False,False,4,4,5,260000000,2023-08-05,2023-08-12,Lagos
4 Bedroom Detached Duplex,HOUSE FOR SALE,"Puposola, New Oko, Ojokoro Abule Egba Lagos",topworld-properties, 8JXPU,False,False,False,0,0,0,55000000,2023-08-05,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,shedrack-luka, 0JXLJ,True,False,False,5,5,6,600000000,2023-08-04,2023-08-12,Lagos
6 Units 2 Bedroom Flat,1 BEDROOM HOUSE FOR SALE,Obia Akpor Port Harcourt Rivers,chyglosco-homes, 1JXLF,False,False,False,0,0,0,2500000,2023-08-04,2023-08-12,Rivers
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,chyglosco-homes, 0JXSX,False,False,False,0,0,0,85000000,2023-08-07,2023-08-12,Lagos
Residential Land,LAND FOR SALE,By Redeem Camp Rupkpokwu Port Harcourt Rivers,rotimi-adeokin, 5JXSW,True,False,False,4,4,5,12000000,2023-08-06,2023-08-12,Rivers
Newly Built 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,topworld-properties, 0JXMG,True,False,False,0,0,0,170000000,2023-08-04,2023-08-12,Lagos
Land,LAND FOR SALE,"Behind Rust Campus, Abara Etche Etche Rivers",chyglosco-homes, 2JXLT,False,False,False,0,0,0,1350000,2023-08-04,2023-08-12,Rivers
Beachview Estate With Instant Allocation,LAND FOR SALE,Win Double Door Refrigerator And Get Instant Allocation Eleko Ibeju Lekki Lagos,ojr, 1JXMU,False,False,False,0,0,0,7200000,2023-08-05,2023-08-12,Lagos
Half Plot Of Land,LAND FOR SALE,Opebi Ikeja Lagos,awobifa, 7JXMS,False,False,False,0,0,0,45000000,2023-08-05,2023-08-12,Lagos
Full Plot Of Land,LAND FOR SALE,Oregun Ikeja Lagos,pwan-legit-properties, 3JXPT,False,False,False,0,0,0,75000000,2023-08-05,2023-08-12,Lagos
Plot Of Bare Land,5 BEDROOM HOUSE FOR SALE,Lekki Lagos,itj-realtor, 4JXPQ,True,False,True,5,6,6,210000000,2023-08-05,2023-08-12,Lagos
