title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
"2 Bedroom Flat All Rooms Ensuite, Modern Finishing",FLAT / APARTMENT FOR RENT,Ogudu Lagos,afeez-ahmed-(oworo)---tpa, 7JMXY,False,False,False,0,0,0,1500000,2023-05-24,2023-07-27 00:00:00,Lagos
Shop Space,COMMERCIAL PROPERTY FOR RENT,Off Akerele Randie Avenue Suruler Randle Avenue Surulere Lagos,olakunle-olatunde, 5JMXX,False,False,False,0,0,0,450000,2023-05-24,2023-07-28 00:00:00,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,Lekki Lagos,peec-real-estate-consult, 6JMXW,False,True,False,4,4,5,8000000,2023-05-24,2023-07-27 00:00:00,Lagos
2bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Off Akerele Road Randie Avenue Suruler Randle Avenue Surulere Lagos,olakunle-olatunde, 4JMXW,False,False,False,2,2,2,1200000,2023-05-24,2023-07-28 00:00:00,Lagos
Executive 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Berger Ojodu Lagos,kolson-properties, 5JMXU,False,False,True,2,3,3,800000,2023-05-24,2023-07-27 00:00:00,Lagos
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Lekki Scheme 2 Ajah Lagos,gods-gift-properties-and-investment-a-subsidiary-of-douglas-ifada-associates, 9JMXT,False,False,False,2,2,3,1800000,2023-05-24,2023-07-27 00:00:00,Lagos
Shop Space,COMMERCIAL PROPERTY FOR RENT,Fola Agoro Yaba Lagos,stephen-ogweh, 7JMXT,True,False,False,0,0,0,300000,2023-05-24,2023-07-27 00:00:00,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,Ikota Lekki Lagos,ebuka-of-lagos-plc1, 0JMXR,True,False,False,5,5,6,7000000,2023-05-24,2023-08-02 00:00:00,Lagos
Room Self Contain,FLAT / APARTMENT FOR RENT,Agungi Lekki Lagos,gracealtar-homes1, 7JMXQ,False,False,False,0,0,0,750000,2023-05-24,2023-07-27 00:00:00,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,Agungi Lekki Lagos,ebuka-of-lagos-plc1, 1JMXQ,True,False,True,5,5,6,13000000,2023-05-24,2023-08-02 00:00:00,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"Lekki Phase 1 Right Side, Lekki Phase 1 Lekki Lagos",gods-gift-properties-and-investment-a-subsidiary-of-douglas-ifada-associates, 0JMXP,True,True,True,4,4,5,15000000,2023-05-24,2023-07-27 00:00:00,Lagos
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,Olowora Ojodu Lagos,abray-estates-management, 0JMXN,False,False,False,5,5,6,6000000,2023-05-24,2023-07-27 00:00:00,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Unilag Estate Ikotun Pap Egbe Idimu Lagos,choicegate-properties, 9JMXM,True,False,False,3,4,0,1300000,2023-05-24,2023-08-02 00:00:00,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Osapa London Lekki Lagos,gracealtar-homes1, 7JMXL,False,False,False,4,4,5,5500000,2023-05-24,2023-07-27 00:00:00,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,god-is-good-property, 4JCCK,True,True,False,4,4,5,4000000,2023-05-24,2023-07-25 00:00:00,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,Orchid Lekki Lagos,the-kings-real-estate-consultancy, 0JMXL,True,True,True,4,5,5,3200000,2023-05-24,2023-07-27 00:00:00,Lagos
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,Chesphils Estate Life Camp Abuja,paul-nyoyoh1, 2JMXK,True,False,False,4,5,5,5000000,2023-05-24,2023-08-02 00:00:00,Abuja
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Medina Gbagada Lagos,akakuruassociates, 0JMXK,False,False,False,4,4,4,4500000,2023-05-24,2023-07-27 00:00:00,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Lekki Lagos,royalpropertykonsult, 8JMXH,False,False,False,4,4,5,3200000,2023-05-24,2023-08-02 00:00:00,Lagos
1 Bedroom Flat,FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,360-degrees, 3JMXG,True,True,False,0,0,0,1300000,2023-05-24,2023-07-27 00:00:00,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR RENT,Ebute Ikorodu Lagos,the-kings-real-estate-consultancy, 2JMXG,False,False,True,5,6,6,1800000,2023-05-24,2023-07-27 00:00:00,Lagos
Mini Flat,FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,360-degrees, 5JMXE,True,True,False,0,0,0,1700000,2023-05-24,2023-07-27 00:00:00,Lagos
3 Beeroom Flat,3 BEDROOM HOUSE FOR RENT,Monastery Road Sangotedo Lagos,rb-estatemgtrealtorsng, 4JMXE,True,True,False,3,3,3,1700000,2023-05-24,2023-07-27 00:00:00,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Mende Maryland Lagos,purple-ribbon-properties, 6JMXD,False,False,False,4,0,0,3500000,2023-05-24,2023-08-02 00:00:00,Lagos
1 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Victoria Island Lagos,distinct-pragmatic-limited, 3JMXD,False,True,False,0,0,0,5000000,2023-05-24,2023-07-31 00:00:00,Lagos
Warehouse,COMMERCIAL PROPERTY FOR RENT,"On Herbert Macaulay Way, Yaba, Lagos Yaba Lagos",tos-property-services, 2JMXD,False,False,False,0,0,1,1000000,2023-05-24,2023-07-31 00:00:00,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR RENT,Opebi Ikeja Lagos,danrielhomes-finder, 9JMXB,False,False,False,5,5,6,6000000,2023-05-24,2023-07-14 00:00:00,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR RENT,Opebi Ikeja Lagos,danrielhomes-finder, 3JMXB,True,False,True,5,5,6,7500000,2023-05-24,2023-07-14 00:00:00,Lagos
Office Space,COMMERCIAL PROPERTY FOR RENT,Allen Avenue Ikeja Lagos,first-homes1, 0JMXB,False,False,False,0,3,3,8000000,2023-05-24,2023-07-31 00:00:00,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Wole Olateju Crescent Lekki Water Side Lekki Lagos,provident-homes-realtor, 7JMXA,False,False,False,3,3,3,3500000,2023-05-24,2023-07-31 00:00:00,Lagos
Open Space,COMMERCIAL PROPERTY FOR RENT,Allen Avenue Ikeja Lagos,first-homes1, 4JMXA,False,False,False,0,0,0,8000000,2023-05-24,2023-07-31 00:00:00,Lagos
Shop Space,COMMERCIAL PROPERTY FOR RENT,Admiralty Way Lekki Phase 1 Lekki Lagos,salami-oluwaseun, 3JMXA,False,True,False,0,0,1,6500000,2023-05-24,2023-07-28 00:00:00,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,andy-gods-time-ltd, 7JMWY,False,False,False,5,5,6,18000000,2023-05-24,2023-07-27 00:00:00,Lagos
3 Bedroom Duplex,3 BEDROOM HOUSE FOR RENT,Lekki Lagos,salami-oluwaseun, 4JMWY,False,False,False,3,3,4,6000000,2023-05-24,2023-07-28 00:00:00,Lagos
5 Bedroom Fully Detached Duplex,5 BEDROOM FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,west-coast-multi-concept-international-services, 2JMWX,True,False,False,5,5,6,5500000,2023-05-24,2023-07-27 00:00:00,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Gwarinpa Abuja,oputa-jay-apartments, 8JMWV,False,False,False,2,2,0,1900000,2023-05-24,2023-07-27 00:00:00,Abuja
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,Ecowas Asokoro Abuja,shedrack-luka, 0JMWU,True,True,False,5,5,6,25000000,2023-05-24,2023-08-02 00:00:00,Abuja
